,orderid,customerid,employeeid,orderdate,shippeddate,shipvia,freight,productid,unitprice,quantity,discount
326,10370,CHOPS,6,1996-12-03,1996-12-27,2,1.17,1,14.4,15,0.15
327,10370,CHOPS,6,1996-12-03,1996-12-27,2,1.17,64,26.6,30,0
328,10370,CHOPS,6,1996-12-03,1996-12-27,2,1.17,74,8,20,0.15
329,10371,LAMAI,1,1996-12-03,1996-12-24,1,0.45,36,15.2,6,0.2
330,10372,QUEEN,5,1996-12-04,1996-12-09,2,890.78,20,64.8,12,0.25
331,10372,QUEEN,5,1996-12-04,1996-12-09,2,890.78,38,210.8,40,0.25
332,10372,QUEEN,5,1996-12-04,1996-12-09,2,890.78,60,27.2,70,0.25
333,10372,QUEEN,5,1996-12-04,1996-12-09,2,890.78,72,27.8,42,0.25
334,10373,HUNGO,4,1996-12-05,1996-12-11,3,124.12,58,10.6,80,0.2
335,10373,HUNGO,4,1996-12-05,1996-12-11,3,124.12,71,17.2,50,0.2
336,10374,WOLZA,1,1996-12-05,1996-12-09,3,3.94,31,10,30,0
337,10374,WOLZA,1,1996-12-05,1996-12-09,3,3.94,58,10.6,15,0
338,10375,HUNGC,3,1996-12-06,1996-12-09,2,20.12,14,18.6,15,0
339,10375,HUNGC,3,1996-12-06,1996-12-09,2,20.12,54,5.9,10,0
340,10376,MEREP,1,1996-12-09,1996-12-13,2,20.39,31,10,42,0.05
341,10377,SEVES,1,1996-12-09,1996-12-13,3,22.21,28,36.4,20,0.15
342,10377,SEVES,1,1996-12-09,1996-12-13,3,22.21,39,14.4,20,0.15
343,10378,FOLKO,5,1996-12-10,1996-12-19,3,5.44,71,17.2,6,0
344,10379,QUEDE,2,1996-12-11,1996-12-13,1,45.03,41,7.7,8,0.1
345,10379,QUEDE,2,1996-12-11,1996-12-13,1,45.03,63,35.1,16,0.1
346,10379,QUEDE,2,1996-12-11,1996-12-13,1,45.03,65,16.8,20,0.1
347,10380,HUNGO,8,1996-12-12,1997-01-16,3,35.03,30,20.7,18,0.1
348,10380,HUNGO,8,1996-12-12,1997-01-16,3,35.03,53,26.2,20,0.1
349,10380,HUNGO,8,1996-12-12,1997-01-16,3,35.03,60,27.2,6,0.1
350,10380,HUNGO,8,1996-12-12,1997-01-16,3,35.03,70,12,30,0
351,10381,LILAS,3,1996-12-12,1996-12-13,3,7.99,74,8,14,0
352,10382,ERNSH,4,1996-12-13,1996-12-16,1,94.77,5,17,32,0
353,10382,ERNSH,4,1996-12-13,1996-12-16,1,94.77,18,50,9,0
354,10382,ERNSH,4,1996-12-13,1996-12-16,1,94.77,29,99,14,0
355,10382,ERNSH,4,1996-12-13,1996-12-16,1,94.77,33,2,60,0
356,10382,ERNSH,4,1996-12-13,1996-12-16,1,94.77,74,8,50,0
357,10383,AROUT,8,1996-12-16,1996-12-18,3,34.24,13,4.8,20,0
358,10383,AROUT,8,1996-12-16,1996-12-18,3,34.24,50,13,15,0
359,10383,AROUT,8,1996-12-16,1996-12-18,3,34.24,56,30.4,20,0
360,10384,BERGS,3,1996-12-16,1996-12-20,3,168.64,20,64.8,28,0
361,10384,BERGS,3,1996-12-16,1996-12-20,3,168.64,60,27.2,15,0
362,10385,SPLIR,1,1996-12-17,1996-12-23,2,30.96,7,24,10,0.2
363,10385,SPLIR,1,1996-12-17,1996-12-23,2,30.96,60,27.2,20,0.2
364,10385,SPLIR,1,1996-12-17,1996-12-23,2,30.96,68,10,8,0.2
365,10386,FAMIA,9,1996-12-18,1996-12-25,3,13.99,24,3.6,15,0
366,10386,FAMIA,9,1996-12-18,1996-12-25,3,13.99,34,11.2,10,0
367,10387,SANTG,1,1996-12-18,1996-12-20,2,93.63,24,3.6,15,0
368,10387,SANTG,1,1996-12-18,1996-12-20,2,93.63,28,36.4,6,0
369,10387,SANTG,1,1996-12-18,1996-12-20,2,93.63,59,44,12,0
370,10387,SANTG,1,1996-12-18,1996-12-20,2,93.63,71,17.2,15,0
371,10388,SEVES,2,1996-12-19,1996-12-20,1,34.86,45,7.6,15,0.2
372,10388,SEVES,2,1996-12-19,1996-12-20,1,34.86,52,5.6,20,0.2
373,10388,SEVES,2,1996-12-19,1996-12-20,1,34.86,53,26.2,40,0
374,10389,BOTTM,4,1996-12-20,1996-12-24,2,47.42,10,24.8,16,0
375,10389,BOTTM,4,1996-12-20,1996-12-24,2,47.42,55,19.2,15,0
376,10389,BOTTM,4,1996-12-20,1996-12-24,2,47.42,62,39.4,20,0
377,10389,BOTTM,4,1996-12-20,1996-12-24,2,47.42,70,12,30,0
378,10390,ERNSH,6,1996-12-23,1996-12-26,1,126.38,31,10,60,0.1
379,10390,ERNSH,6,1996-12-23,1996-12-26,1,126.38,35,14.4,40,0.1
380,10390,ERNSH,6,1996-12-23,1996-12-26,1,126.38,46,9.6,45,0
381,10390,ERNSH,6,1996-12-23,1996-12-26,1,126.38,72,27.8,24,0.1
382,10391,DRACD,3,1996-12-23,1996-12-31,3,5.45,13,4.8,18,0
383,10392,PICCO,2,1996-12-24,1997-01-01,3,122.46,69,28.8,50,0
384,10393,SAVEA,1,1996-12-25,1997-01-03,3,126.56,2,15.2,25,0.25
385,10393,SAVEA,1,1996-12-25,1997-01-03,3,126.56,14,18.6,42,0.25
386,10393,SAVEA,1,1996-12-25,1997-01-03,3,126.56,25,11.2,7,0.25
387,10393,SAVEA,1,1996-12-25,1997-01-03,3,126.56,26,24.9,70,0.25
388,10393,SAVEA,1,1996-12-25,1997-01-03,3,126.56,31,10,32,0
389,10394,HUNGC,1,1996-12-25,1997-01-03,3,30.34,13,4.8,10,0
390,10394,HUNGC,1,1996-12-25,1997-01-03,3,30.34,62,39.4,10,0
391,10395,HILAA,6,1996-12-26,1997-01-03,1,184.41,46,9.6,28,0.1
392,10395,HILAA,6,1996-12-26,1997-01-03,1,184.41,53,26.2,70,0.1
393,10395,HILAA,6,1996-12-26,1997-01-03,1,184.41,69,28.8,8,0
394,10396,FRANK,1,1996-12-27,1997-01-06,3,135.35,23,7.2,40,0
395,10396,FRANK,1,1996-12-27,1997-01-06,3,135.35,71,17.2,60,0
396,10396,FRANK,1,1996-12-27,1997-01-06,3,135.35,72,27.8,21,0
397,10397,PRINI,5,1996-12-27,1997-01-02,1,60.26,21,8,10,0.15
398,10397,PRINI,5,1996-12-27,1997-01-02,1,60.26,51,42.4,18,0.15
399,10398,SAVEA,2,1996-12-30,1997-01-09,3,89.16,35,14.4,30,0
400,10398,SAVEA,2,1996-12-30,1997-01-09,3,89.16,55,19.2,120,0.1
401,10399,VAFFE,8,1996-12-31,1997-01-08,3,27.36,68,10,60,0
402,10399,VAFFE,8,1996-12-31,1997-01-08,3,27.36,71,17.2,30,0
403,10399,VAFFE,8,1996-12-31,1997-01-08,3,27.36,76,14.4,35,0
404,10399,VAFFE,8,1996-12-31,1997-01-08,3,27.36,77,10.4,14,0
405,10400,EASTC,1,1997-01-01,1997-01-16,3,83.93,29,99,21,0
406,10400,EASTC,1,1997-01-01,1997-01-16,3,83.93,35,14.4,35,0
407,10400,EASTC,1,1997-01-01,1997-01-16,3,83.93,49,16,30,0
408,10401,RATTC,1,1997-01-01,1997-01-10,1,12.51,30,20.7,18,0
409,10401,RATTC,1,1997-01-01,1997-01-10,1,12.51,56,30.4,70,0
410,10401,RATTC,1,1997-01-01,1997-01-10,1,12.51,65,16.8,20,0
411,10401,RATTC,1,1997-01-01,1997-01-10,1,12.51,71,17.2,60,0
412,10402,ERNSH,8,1997-01-02,1997-01-10,2,67.88,23,7.2,60,0
413,10402,ERNSH,8,1997-01-02,1997-01-10,2,67.88,63,35.1,65,0
414,10403,ERNSH,4,1997-01-03,1997-01-09,3,73.79,16,13.9,21,0.15
415,10403,ERNSH,4,1997-01-03,1997-01-09,3,73.79,48,10.2,70,0.15
416,10404,MAGAA,2,1997-01-03,1997-01-08,1,155.97,26,24.9,30,0.05
417,10404,MAGAA,2,1997-01-03,1997-01-08,1,155.97,42,11.2,40,0.05
418,10404,MAGAA,2,1997-01-03,1997-01-08,1,155.97,49,16,30,0.05
419,10405,LINOD,1,1997-01-06,1997-01-22,1,34.82,3,8,50,0
420,10406,QUEEN,7,1997-01-07,1997-01-13,1,108.04,1,14.4,10,0
421,10406,QUEEN,7,1997-01-07,1997-01-13,1,108.04,21,8,30,0.1
422,10406,QUEEN,7,1997-01-07,1997-01-13,1,108.04,28,36.4,42,0.1
423,10406,QUEEN,7,1997-01-07,1997-01-13,1,108.04,36,15.2,5,0.1
424,10406,QUEEN,7,1997-01-07,1997-01-13,1,108.04,40,14.7,2,0.1
425,10407,OTTIK,2,1997-01-07,1997-01-30,2,91.48,11,16.8,30,0
426,10407,OTTIK,2,1997-01-07,1997-01-30,2,91.48,69,28.8,15,0
427,10407,OTTIK,2,1997-01-07,1997-01-30,2,91.48,71,17.2,15,0
428,10408,FOLIG,8,1997-01-08,1997-01-14,1,11.26,37,20.8,10,0
429,10408,FOLIG,8,1997-01-08,1997-01-14,1,11.26,54,5.9,6,0
430,10408,FOLIG,8,1997-01-08,1997-01-14,1,11.26,62,39.4,35,0
431,10409,OCEAN,3,1997-01-09,1997-01-14,1,29.83,14,18.6,12,0
432,10409,OCEAN,3,1997-01-09,1997-01-14,1,29.83,21,8,12,0
433,10410,BOTTM,3,1997-01-10,1997-01-15,3,2.4,33,2,49,0
434,10410,BOTTM,3,1997-01-10,1997-01-15,3,2.4,59,44,16,0
435,10411,BOTTM,9,1997-01-10,1997-01-21,3,23.65,41,7.7,25,0.2
436,10411,BOTTM,9,1997-01-10,1997-01-21,3,23.65,44,15.5,40,0.2
437,10411,BOTTM,9,1997-01-10,1997-01-21,3,23.65,59,44,9,0.2
438,10412,WARTH,8,1997-01-13,1997-01-15,2,3.77,14,18.6,20,0.1
439,10413,LAMAI,3,1997-01-14,1997-01-16,2,95.66,1,14.4,24,0
440,10413,LAMAI,3,1997-01-14,1997-01-16,2,95.66,62,39.4,40,0
441,10413,LAMAI,3,1997-01-14,1997-01-16,2,95.66,76,14.4,14,0
442,10414,FAMIA,2,1997-01-14,1997-01-17,3,21.48,19,7.3,18,0.05
443,10414,FAMIA,2,1997-01-14,1997-01-17,3,21.48,33,2,50,0
444,10415,HUNGC,3,1997-01-15,1997-01-24,1,0.2,17,31.2,2,0
445,10415,HUNGC,3,1997-01-15,1997-01-24,1,0.2,33,2,20,0
446,10416,WARTH,8,1997-01-16,1997-01-27,3,22.72,19,7.3,20,0
447,10416,WARTH,8,1997-01-16,1997-01-27,3,22.72,53,26.2,10,0
448,10416,WARTH,8,1997-01-16,1997-01-27,3,22.72,57,15.6,20,0
449,10417,SIMOB,4,1997-01-16,1997-01-28,3,70.29,38,210.8,50,0
450,10417,SIMOB,4,1997-01-16,1997-01-28,3,70.29,46,9.6,2,0.25
451,10417,SIMOB,4,1997-01-16,1997-01-28,3,70.29,68,10,36,0.25
452,10417,SIMOB,4,1997-01-16,1997-01-28,3,70.29,77,10.4,35,0
453,10418,QUICK,4,1997-01-17,1997-01-24,1,17.55,2,15.2,60,0
454,10418,QUICK,4,1997-01-17,1997-01-24,1,17.55,47,7.6,55,0
455,10418,QUICK,4,1997-01-17,1997-01-24,1,17.55,61,22.8,16,0
456,10418,QUICK,4,1997-01-17,1997-01-24,1,17.55,74,8,15,0
457,10419,RICSU,4,1997-01-20,1997-01-30,2,137.35,60,27.2,60,0.05
458,10419,RICSU,4,1997-01-20,1997-01-30,2,137.35,69,28.8,20,0.05
459,10420,WELLI,3,1997-01-21,1997-01-27,1,44.12,9,77.6,20,0.1
460,10420,WELLI,3,1997-01-21,1997-01-27,1,44.12,13,4.8,2,0.1
461,10420,WELLI,3,1997-01-21,1997-01-27,1,44.12,70,12,8,0.1
462,10420,WELLI,3,1997-01-21,1997-01-27,1,44.12,73,12,20,0.1
463,10421,QUEDE,8,1997-01-21,1997-01-27,1,99.23,19,7.3,4,0.15
464,10421,QUEDE,8,1997-01-21,1997-01-27,1,99.23,26,24.9,30,0
465,10421,QUEDE,8,1997-01-21,1997-01-27,1,99.23,53,26.2,15,0.15
466,10421,QUEDE,8,1997-01-21,1997-01-27,1,99.23,77,10.4,10,0.15
467,10422,FRANS,2,1997-01-22,1997-01-31,1,3.02,26,24.9,2,0
468,10423,GOURL,6,1997-01-23,1997-02-24,3,24.5,31,10,14,0
469,10423,GOURL,6,1997-01-23,1997-02-24,3,24.5,59,44,20,0
470,10424,MEREP,7,1997-01-23,1997-01-27,2,370.61,35,14.4,60,0.2
471,10424,MEREP,7,1997-01-23,1997-01-27,2,370.61,38,210.8,49,0.2
472,10424,MEREP,7,1997-01-23,1997-01-27,2,370.61,68,10,30,0.2
473,10425,LAMAI,6,1997-01-24,1997-02-14,2,7.93,55,19.2,10,0.25
474,10425,LAMAI,6,1997-01-24,1997-02-14,2,7.93,76,14.4,20,0.25
475,10426,GALED,4,1997-01-27,1997-02-06,1,18.69,56,30.4,5,0
476,10426,GALED,4,1997-01-27,1997-02-06,1,18.69,64,26.6,7,0
477,10427,PICCO,4,1997-01-27,1997-03-03,2,31.29,14,18.6,35,0
478,10428,REGGC,7,1997-01-28,1997-02-04,1,11.09,46,9.6,20,0
479,10429,HUNGO,3,1997-01-29,1997-02-07,2,56.63,50,13,40,0
480,10429,HUNGO,3,1997-01-29,1997-02-07,2,56.63,63,35.1,35,0.25
481,10430,ERNSH,4,1997-01-30,1997-02-03,1,458.78,17,31.2,45,0.2
482,10430,ERNSH,4,1997-01-30,1997-02-03,1,458.78,21,8,50,0
483,10430,ERNSH,4,1997-01-30,1997-02-03,1,458.78,56,30.4,30,0
484,10430,ERNSH,4,1997-01-30,1997-02-03,1,458.78,59,44,70,0.2
485,10431,BOTTM,4,1997-01-30,1997-02-07,2,44.17,17,31.2,50,0.25
486,10431,BOTTM,4,1997-01-30,1997-02-07,2,44.17,40,14.7,50,0.25
487,10431,BOTTM,4,1997-01-30,1997-02-07,2,44.17,47,7.6,30,0.25
488,10432,SPLIR,3,1997-01-31,1997-02-07,2,4.34,26,24.9,10,0
489,10432,SPLIR,3,1997-01-31,1997-02-07,2,4.34,54,5.9,40,0
490,10433,PRINI,3,1997-02-03,1997-03-04,3,73.83,56,30.4,28,0
491,10434,FOLKO,3,1997-02-03,1997-02-13,2,17.92,11,16.8,6,0
492,10434,FOLKO,3,1997-02-03,1997-02-13,2,17.92,76,14.4,18,0.15
493,10435,CONSH,8,1997-02-04,1997-02-07,2,9.21,2,15.2,10,0
494,10435,CONSH,8,1997-02-04,1997-02-07,2,9.21,22,16.8,12,0
495,10435,CONSH,8,1997-02-04,1997-02-07,2,9.21,72,27.8,10,0
496,10436,BLONP,3,1997-02-05,1997-02-11,2,156.66,46,9.6,5,0
497,10436,BLONP,3,1997-02-05,1997-02-11,2,156.66,56,30.4,40,0.1
498,10436,BLONP,3,1997-02-05,1997-02-11,2,156.66,64,26.6,30,0.1
499,10436,BLONP,3,1997-02-05,1997-02-11,2,156.66,75,6.2,24,0.1
500,10437,WARTH,8,1997-02-05,1997-02-12,1,19.97,53,26.2,15,0
501,10438,TOMSP,3,1997-02-06,1997-02-14,2,8.24,19,7.3,15,0.2
502,10438,TOMSP,3,1997-02-06,1997-02-14,2,8.24,34,11.2,20,0.2
503,10438,TOMSP,3,1997-02-06,1997-02-14,2,8.24,57,15.6,15,0.2
504,10439,MEREP,6,1997-02-07,1997-02-10,3,4.07,12,30.4,15,0
505,10439,MEREP,6,1997-02-07,1997-02-10,3,4.07,16,13.9,16,0
506,10439,MEREP,6,1997-02-07,1997-02-10,3,4.07,64,26.6,6,0
507,10439,MEREP,6,1997-02-07,1997-02-10,3,4.07,74,8,30,0
508,10440,SAVEA,4,1997-02-10,1997-02-28,2,86.53,2,15.2,45,0.15
509,10440,SAVEA,4,1997-02-10,1997-02-28,2,86.53,16,13.9,49,0.15
510,10440,SAVEA,4,1997-02-10,1997-02-28,2,86.53,29,99,24,0.15
511,10440,SAVEA,4,1997-02-10,1997-02-28,2,86.53,61,22.8,90,0.15
512,10441,OLDWO,3,1997-02-10,1997-03-14,2,73.02,27,35.1,50,0
513,10442,ERNSH,3,1997-02-11,1997-02-18,2,47.94,11,16.8,30,0
514,10442,ERNSH,3,1997-02-11,1997-02-18,2,47.94,54,5.9,80,0
515,10442,ERNSH,3,1997-02-11,1997-02-18,2,47.94,66,13.6,60,0
516,10443,REGGC,8,1997-02-12,1997-02-14,1,13.95,11,16.8,6,0.2
517,10443,REGGC,8,1997-02-12,1997-02-14,1,13.95,28,36.4,12,0
518,10444,BERGS,3,1997-02-12,1997-02-21,3,3.5,17,31.2,10,0
519,10444,BERGS,3,1997-02-12,1997-02-21,3,3.5,26,24.9,15,0
520,10444,BERGS,3,1997-02-12,1997-02-21,3,3.5,35,14.4,8,0
521,10444,BERGS,3,1997-02-12,1997-02-21,3,3.5,41,7.7,30,0
522,10445,BERGS,3,1997-02-13,1997-02-20,1,9.3,39,14.4,6,0
523,10445,BERGS,3,1997-02-13,1997-02-20,1,9.3,54,5.9,15,0
524,10446,TOMSP,6,1997-02-14,1997-02-19,1,14.68,19,7.3,12,0.1
525,10446,TOMSP,6,1997-02-14,1997-02-19,1,14.68,24,3.6,20,0.1
526,10446,TOMSP,6,1997-02-14,1997-02-19,1,14.68,31,10,3,0.1
527,10446,TOMSP,6,1997-02-14,1997-02-19,1,14.68,52,5.6,15,0.1
528,10447,RICAR,4,1997-02-14,1997-03-07,2,68.66,19,7.3,40,0
529,10447,RICAR,4,1997-02-14,1997-03-07,2,68.66,65,16.8,35,0
530,10447,RICAR,4,1997-02-14,1997-03-07,2,68.66,71,17.2,2,0
531,10448,RANCH,4,1997-02-17,1997-02-24,2,38.82,26,24.9,6,0
532,10448,RANCH,4,1997-02-17,1997-02-24,2,38.82,40,14.7,20,0
533,10449,BLONP,3,1997-02-18,1997-02-27,2,53.3,10,24.8,14,0
534,10449,BLONP,3,1997-02-18,1997-02-27,2,53.3,52,5.6,20,0
535,10449,BLONP,3,1997-02-18,1997-02-27,2,53.3,62,39.4,35,0
536,10450,VICTE,8,1997-02-19,1997-03-11,2,7.23,10,24.8,20,0.2
537,10450,VICTE,8,1997-02-19,1997-03-11,2,7.23,54,5.9,6,0.2
538,10451,QUICK,4,1997-02-19,1997-03-12,3,189.09,55,19.2,120,0.1
539,10451,QUICK,4,1997-02-19,1997-03-12,3,189.09,64,26.6,35,0.1
540,10451,QUICK,4,1997-02-19,1997-03-12,3,189.09,65,16.8,28,0.1
541,10451,QUICK,4,1997-02-19,1997-03-12,3,189.09,77,10.4,55,0.1
542,10452,SAVEA,8,1997-02-20,1997-02-26,1,140.26,28,36.4,15,0
543,10452,SAVEA,8,1997-02-20,1997-02-26,1,140.26,44,15.5,100,0.05
544,10453,AROUT,1,1997-02-21,1997-02-26,2,25.36,48,10.2,15,0.1
545,10453,AROUT,1,1997-02-21,1997-02-26,2,25.36,70,12,25,0.1
546,10454,LAMAI,4,1997-02-21,1997-02-25,3,2.74,16,13.9,20,0.2
547,10454,LAMAI,4,1997-02-21,1997-02-25,3,2.74,33,2,20,0.2
548,10454,LAMAI,4,1997-02-21,1997-02-25,3,2.74,46,9.6,10,0.2
549,10455,WARTH,8,1997-02-24,1997-03-03,2,180.45,39,14.4,20,0
550,10455,WARTH,8,1997-02-24,1997-03-03,2,180.45,53,26.2,50,0
551,10455,WARTH,8,1997-02-24,1997-03-03,2,180.45,61,22.8,25,0
552,10455,WARTH,8,1997-02-24,1997-03-03,2,180.45,71,17.2,30,0
553,10456,KOENE,8,1997-02-25,1997-02-28,2,8.12,21,8,40,0.15
554,10456,KOENE,8,1997-02-25,1997-02-28,2,8.12,49,16,21,0.15
555,10457,KOENE,2,1997-02-25,1997-03-03,1,11.57,59,44,36,0
556,10458,SUPRD,7,1997-02-26,1997-03-04,3,147.06,26,24.9,30,0
557,10458,SUPRD,7,1997-02-26,1997-03-04,3,147.06,28,36.4,30,0
558,10458,SUPRD,7,1997-02-26,1997-03-04,3,147.06,43,36.8,20,0
559,10458,SUPRD,7,1997-02-26,1997-03-04,3,147.06,56,30.4,15,0
560,10458,SUPRD,7,1997-02-26,1997-03-04,3,147.06,71,17.2,50,0
561,10459,VICTE,4,1997-02-27,1997-02-28,2,25.09,7,24,16,0.05
562,10459,VICTE,4,1997-02-27,1997-02-28,2,25.09,46,9.6,20,0.05
563,10459,VICTE,4,1997-02-27,1997-02-28,2,25.09,72,27.8,40,0
564,10460,FOLKO,8,1997-02-28,1997-03-03,1,16.27,68,10,21,0.25
565,10460,FOLKO,8,1997-02-28,1997-03-03,1,16.27,75,6.2,4,0.25
566,10461,LILAS,1,1997-02-28,1997-03-05,3,148.61,21,8,40,0.25
567,10461,LILAS,1,1997-02-28,1997-03-05,3,148.61,30,20.7,28,0.25
568,10461,LILAS,1,1997-02-28,1997-03-05,3,148.61,55,19.2,60,0.25
569,10462,CONSH,2,1997-03-03,1997-03-18,1,6.17,13,4.8,1,0
570,10462,CONSH,2,1997-03-03,1997-03-18,1,6.17,23,7.2,21,0
571,10463,SUPRD,5,1997-03-04,1997-03-06,3,14.78,19,7.3,21,0
572,10463,SUPRD,5,1997-03-04,1997-03-06,3,14.78,42,11.2,50,0
573,10464,FURIB,4,1997-03-04,1997-03-14,2,89,4,17.6,16,0.2
574,10464,FURIB,4,1997-03-04,1997-03-14,2,89,43,36.8,3,0
575,10464,FURIB,4,1997-03-04,1997-03-14,2,89,56,30.4,30,0.2
576,10464,FURIB,4,1997-03-04,1997-03-14,2,89,60,27.2,20,0
577,10465,VAFFE,1,1997-03-05,1997-03-14,3,145.04,24,3.6,25,0
578,10465,VAFFE,1,1997-03-05,1997-03-14,3,145.04,29,99,18,0.1
579,10465,VAFFE,1,1997-03-05,1997-03-14,3,145.04,40,14.7,20,0
580,10465,VAFFE,1,1997-03-05,1997-03-14,3,145.04,45,7.6,30,0.1
581,10465,VAFFE,1,1997-03-05,1997-03-14,3,145.04,50,13,25,0
582,10466,COMMI,4,1997-03-06,1997-03-13,1,11.93,11,16.8,10,0
583,10466,COMMI,4,1997-03-06,1997-03-13,1,11.93,46,9.6,5,0
584,10467,MAGAA,8,1997-03-06,1997-03-11,2,4.93,24,3.6,28,0
585,10467,MAGAA,8,1997-03-06,1997-03-11,2,4.93,25,11.2,12,0
586,10468,KOENE,3,1997-03-07,1997-03-12,3,44.12,30,20.7,8,0
587,10468,KOENE,3,1997-03-07,1997-03-12,3,44.12,43,36.8,15,0
588,10469,WHITC,1,1997-03-10,1997-03-14,1,60.18,2,15.2,40,0.15
589,10469,WHITC,1,1997-03-10,1997-03-14,1,60.18,16,13.9,35,0.15
590,10469,WHITC,1,1997-03-10,1997-03-14,1,60.18,44,15.5,2,0.15
591,10470,BONAP,4,1997-03-11,1997-03-14,2,64.56,18,50,30,0
592,10470,BONAP,4,1997-03-11,1997-03-14,2,64.56,23,7.2,15,0
593,10470,BONAP,4,1997-03-11,1997-03-14,2,64.56,64,26.6,8,0
594,10471,BSBEV,2,1997-03-11,1997-03-18,3,45.59,7,24,30,0
595,10471,BSBEV,2,1997-03-11,1997-03-18,3,45.59,56,30.4,20,0
596,10472,SEVES,8,1997-03-12,1997-03-19,1,4.2,24,3.6,80,0.05
597,10472,SEVES,8,1997-03-12,1997-03-19,1,4.2,51,42.4,18,0
598,10473,ISLAT,1,1997-03-13,1997-03-21,3,16.37,33,2,12,0
599,10473,ISLAT,1,1997-03-13,1997-03-21,3,16.37,71,17.2,12,0
600,10474,PERIC,5,1997-03-13,1997-03-21,2,83.49,14,18.6,12,0
601,10474,PERIC,5,1997-03-13,1997-03-21,2,83.49,28,36.4,18,0
602,10474,PERIC,5,1997-03-13,1997-03-21,2,83.49,40,14.7,21,0
603,10474,PERIC,5,1997-03-13,1997-03-21,2,83.49,75,6.2,10,0
604,10475,SUPRD,9,1997-03-14,1997-04-04,1,68.52,31,10,35,0.15
605,10475,SUPRD,9,1997-03-14,1997-04-04,1,68.52,66,13.6,60,0.15
606,10475,SUPRD,9,1997-03-14,1997-04-04,1,68.52,76,14.4,42,0.15
607,10476,HILAA,8,1997-03-17,1997-03-24,3,4.41,55,19.2,2,0.05
608,10476,HILAA,8,1997-03-17,1997-03-24,3,4.41,70,12,12,0
609,10477,PRINI,5,1997-03-17,1997-03-25,2,13.02,1,14.4,15,0
610,10477,PRINI,5,1997-03-17,1997-03-25,2,13.02,21,8,21,0.25
611,10477,PRINI,5,1997-03-17,1997-03-25,2,13.02,39,14.4,20,0.25
612,10478,VICTE,2,1997-03-18,1997-03-26,3,4.81,10,24.8,20,0.05
613,10479,RATTC,3,1997-03-19,1997-03-21,3,708.95,38,210.8,30,0
614,10479,RATTC,3,1997-03-19,1997-03-21,3,708.95,53,26.2,28,0
615,10479,RATTC,3,1997-03-19,1997-03-21,3,708.95,59,44,60,0
616,10479,RATTC,3,1997-03-19,1997-03-21,3,708.95,64,26.6,30,0
617,10480,FOLIG,6,1997-03-20,1997-03-24,2,1.35,47,7.6,30,0
618,10480,FOLIG,6,1997-03-20,1997-03-24,2,1.35,59,44,12,0
619,10481,RICAR,8,1997-03-20,1997-03-25,2,64.33,49,16,24,0
620,10481,RICAR,8,1997-03-20,1997-03-25,2,64.33,60,27.2,40,0
621,10482,LAZYK,1,1997-03-21,1997-04-10,3,7.48,40,14.7,10,0
622,10483,WHITC,7,1997-03-24,1997-04-25,2,15.28,34,11.2,35,0.05
623,10483,WHITC,7,1997-03-24,1997-04-25,2,15.28,77,10.4,30,0.05
624,10484,BSBEV,3,1997-03-24,1997-04-01,3,6.88,21,8,14,0
625,10484,BSBEV,3,1997-03-24,1997-04-01,3,6.88,40,14.7,10,0
626,10484,BSBEV,3,1997-03-24,1997-04-01,3,6.88,51,42.4,3,0
627,10485,LINOD,4,1997-03-25,1997-03-31,2,64.45,2,15.2,20,0.1
628,10485,LINOD,4,1997-03-25,1997-03-31,2,64.45,3,8,20,0.1
629,10485,LINOD,4,1997-03-25,1997-03-31,2,64.45,55,19.2,30,0.1
630,10485,LINOD,4,1997-03-25,1997-03-31,2,64.45,70,12,60,0.1
631,10486,HILAA,1,1997-03-26,1997-04-02,2,30.53,11,16.8,5,0
632,10486,HILAA,1,1997-03-26,1997-04-02,2,30.53,51,42.4,25,0
633,10486,HILAA,1,1997-03-26,1997-04-02,2,30.53,74,8,16,0
634,10487,QUEEN,2,1997-03-26,1997-03-28,2,71.07,19,7.3,5,0
635,10487,QUEEN,2,1997-03-26,1997-03-28,2,71.07,26,24.9,30,0
636,10487,QUEEN,2,1997-03-26,1997-03-28,2,71.07,54,5.9,24,0.25
637,10488,FRANK,8,1997-03-27,1997-04-02,2,4.93,59,44,30,0
638,10488,FRANK,8,1997-03-27,1997-04-02,2,4.93,73,12,20,0.2
639,10489,PICCO,6,1997-03-28,1997-04-09,2,5.29,11,16.8,15,0.25
640,10489,PICCO,6,1997-03-28,1997-04-09,2,5.29,16,13.9,18,0
641,10490,HILAA,7,1997-03-31,1997-04-03,2,210.19,59,44,60,0
642,10490,HILAA,7,1997-03-31,1997-04-03,2,210.19,68,10,30,0
643,10490,HILAA,7,1997-03-31,1997-04-03,2,210.19,75,6.2,36,0
644,10491,FURIB,8,1997-03-31,1997-04-08,3,16.96,44,15.5,15,0.15
645,10491,FURIB,8,1997-03-31,1997-04-08,3,16.96,77,10.4,7,0.15
646,10492,BOTTM,3,1997-04-01,1997-04-11,1,62.89,25,11.2,60,0.05
647,10492,BOTTM,3,1997-04-01,1997-04-11,1,62.89,42,11.2,20,0.05
648,10493,LAMAI,4,1997-04-02,1997-04-10,3,10.64,65,16.8,15,0.1
649,10493,LAMAI,4,1997-04-02,1997-04-10,3,10.64,66,13.6,10,0.1
650,10493,LAMAI,4,1997-04-02,1997-04-10,3,10.64,69,28.8,10,0.1
